
2027, 640, 69.30502319, 16.08313560, 1980.00, 19, 349.938, 141, 20, 79007.11, 59.07, -65, 3
2031, 641, 69.30508423, 16.08318901, 1994.50, 19, 348.000, 141, 20, 78830.27, 58.94, -62, 3
2035, 642, 69.30507660, 16.08378029, 2006.00, 19, 346.938, 141, 20, 78672.04, 58.94, -64, 3
2039, 643, 69.30522919, 16.08436775, 2021.00, 19, 352.250, 141, 20, 78489.28, 59.13, -69, 3
2043, 644, 69.30533600, 16.08443832, 2031.00, 19, 354.750, 140, 20, 78350.43, 59.53, -67, 3
2047, 645, 69.30534363, 16.08456421, 2044.50, 19, 352.188, 141, 20, 78217.84, 59.34, -66, 3
2051, 646, 69.30538177, 16.08518600, 2057.00, 19, 351.000, 141, 20, 78104.60, 58.28, -67, 3
2055, 647, 69.30554199, 16.08563805, 2068.00, 99, 356.000, 131, 20, 77967.80, 58.19, -67, 1
2059, 648, 69.30567932, 16.08615494, 2078.50, 19, 357.250, 141, 20, 77831.38, 56.79, -67, 3
2063, 649, 69.30576324, 16.08667183, 2096.00, 19, 357.000, 140, 20, 77705.94, 55.55, -69, 3
2067, 650, 69.30583954, 16.08729362, 2111.00, 19, 358.250, 141, 20, 77578.56, 54.40, -68, 3
2071, 651, 69.30597687, 16.08782578, 2127.50, 19, 364.938, 141, 20, 77405.98, 53.88, -69, 3
2075, 652, 69.30608368, 16.08852005, 2142.50, 19, 365.063, 141, 20, 77254.48, 53.44, -66, 3
2079, 653, 69.30610657, 16.08931923, 2155.00, 19, 365.688, 140, 20, 77108.86, 53.43, -68, 3
2083, 654, 69.30625916, 16.09005356, 2166.00, 19, 366.000, 141, 20, 77011.53, 52.27, -67, 3
2087, 655, 69.30640411, 12.04528618, 2176.00, 19, 365.750, 141, 20, 76910.95, 52.29, -71, 2
2091, 656, 69.30647278, 16.09113312, 2190.00, 19, 367.813, 140, 20, 76779.13, 51.83, -66, 3
2095, 657, 69.30661011, 16.09189224, 2207.00, 19, 366.313, 140, 20, 76649.30, 51.64, -74, 3
2099, 658, 69.30665588, 16.09257507, 2221.00, 19, 362.938, 140, 20, 76561.16, 50.99, -66, 3
2102, 659, 69.30684662, 16.09312439, 2236.00, 19, 366.938, 140, 20, 76404.80, 51.57, -63, 3
2106, 660, 69.30693817, 16.09360123, 2248.50, 18, 364.063, 140, 20, 76330.38, 51.93, -68, 3
2110, 661, 69.30709076, 16.09406662, 2263.00, 19, 368.688, 140, 20, 76174.83, 52.64, -68, 3
2114, 662, 69.30735016, 16.09433746, 2282.50, 19, 370.125, 140, 20, 76025.73, 52.88, -67, 3
2118, 663, 69.30746460, 16.09444427, 2301.50, 19, 375.063, 140, 20, 75851.88, 53.32, -68, 3
2122, 664, 69.30763245, 16.09480667, 2317.50, 19, 374.000, 140, 20, 75742.22, 53.70, -68, 3
2126, 665, 69.30785370, 16.09489441, 2333.50, 19, 378.750, 140, 20, 75584.44, 53.54, -67, 3
2130, 666, 69.30809784, 16.09501076, 2342.00, 19, 379.000, 140, 20, 75416.77, 54.13, -72, 3
2134, 667, 69.30822754, 16.09537888, 2354.50, 19, 378.000, 140, 20, 75256.55, 53.68, -74, 3
2138, 668, 69.30834198, 16.09528923, 2366.00, 19, 374.750, 140, 20, 75114.56, 54.56, -66, 3
2142, 669, 69.30849457, 16.09508705, 2383.00, 18, 373.375, 140, 20, 74974.17, 54.60, -75, 3
2146, 670, 69.30860138, 16.09540176, 2400.00, 19, 374.750, 140, 20, 74820.66, 55.15, -67, 3
